keyword,language,country,timeRange,trend,interestScore,relatedQueries,source,lastChecked,sourceUrl,trendType,change,sourceFile,topicCluster,isRelevant
claude,en,US,2026-05-08..2026-06-08,rising,49,,google_trends_manual,2026-06-08,,top,60%,searched_with_top-searches_US_20260508-2018_20260608-2018(1).csv,other,False
claude ai,en,US,2026-05-08..2026-06-08,rising,100,,google_trends_manual,2026-06-08,,rising,10%,searched_with_rising-searches_US_20260508-2021_20260608-2021(1).csv,ai_content,False
claude ai,en,US,2026-05-08..2026-06-08,rising,44,,google_trends_manual,2026-06-08,,top,1%,searched_with_top-searches_US_20260508-2018_20260608-2018(1).csv,ai_content,False
cloud computing services,en,US,2026-05-08..2026-06-08,rising,1,,google_trends_manual,2026-06-08,,rising,40%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
codex,en,US,2026-05-08..2026-06-08,rising,12,,google_trends_manual,2026-06-08,,rising,70%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
codex,en,US,2026-05-08..2026-06-08,rising,12,,google_trends_manual,2026-06-08,,top,70%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,other,False
computer vision projects,en,US,2026-05-08..2026-06-08,rising,0,,google_trends_manual,2026-06-08,,rising,10%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
content marketing strategies,en,US,2026-05-08..2026-06-08,falling,3,,google_trends_manual,2026-06-08,,top,-30%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,other,False
content writer ai,en,US,2026-05-08..2026-06-08,falling,10,,google_trends_manual,2026-06-08,,top,-30%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
database optimization,en,US,2026-05-08..2026-06-08,rising,1,,google_trends_manual,2026-06-08,,rising,40%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
database optimization,en,US,2026-05-08..2026-06-08,rising,1,,google_trends_manual,2026-06-08,,top,40%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,other,False
discussion post generator,en,US,2026-05-08..2026-06-08,falling,2,,google_trends_manual,2026-06-08,,rising,-70%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,social_content,True
discussion post generator,en,US,2026-05-08..2026-06-08,falling,2,,google_trends_manual,2026-06-08,,top,-70%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,social_content,True
download instagram carousel images,en,US,2026-05-08..2026-06-08,breakout,0,,google_trends_manual,2026-06-08,,rising,Breakout,searched_with_rising-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
events,en,US,2026-05-08..2026-06-08,stable,24,,google_trends_manual,2026-06-08,,rising,0%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
events,en,US,2026-05-08..2026-06-08,stable,24,,google_trends_manual,2026-06-08,,top,0%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,other,False
